date,symbol,open,high,low,close,volume
2024-01-01,BNB,311.86,328.83,312.87,313.67,14746729.46
2024-01-02,BNB,313.67,320.28,306.56,312.41,19482343.97
2024-01-03,BNB,312.41,320.59,295.09,315.96,45921730.86
2024-01-04,BNB,315.96,333.45,317.49,323.99,25180920.77
2024-01-05,BNB,323.99,331.34,315.17,317.73,17990522.56
2024-01-06,BNB,317.73,316.5,303.34,307.57,13208042.43
2024-01-07,BNB,307.57,308.71,299.48,302.56,8751940.99
2024-01-08,BNB,302.56,323.56,303.92,303.97,19213708.41
2024-01-09,BNB,303.97,305.7,290.39,301.14,19604411.53
2024-01-10,BNB,301.14,309.31,297.18,305.81,20616612.38
2024-01-11,BNB,305.81,317.24,298.65,308.34,23128651.45
2024-01-12,BNB,308.34,299.43,283.52,296.57,20083848.92
2024-01-13,BNB,296.57,303.09,292.68,302.02,10796146.1
2024-01-14,BNB,302.02,300.73,293.22,299.23,8034576.89
2024-01-15,BNB,299.23,320.64,303.81,317.32,37959424.99
2024-01-16,BNB,317.32,322.66,313.91,315.16,14265392.15
2024-01-17,BNB,315.16,319.09,307.72,309.09,17827518.31
2024-01-18,BNB,309.09,315.06,296.77,312.71,20123018.51
2024-01-19,BNB,312.71,318.98,309.65,314.48,13775959.72
2024-01-20,BNB,314.48,317.37,312.7,317.12,6567773.66
2024-01-21,BNB,317.12,320.51,315.43,318.59,6770882.51
2024-01-22,BNB,318.59,306.7,301.01,305.6,10483455.31
2024-01-23,BNB,305.6,310.24,298.04,298.59,12794028.01
2024-01-24,BNB,298.59,302.31,291.73,293.01,12536441.51
2024-01-25,BNB,293.01,295.29,287.66,291.97,13678199.16
2024-01-26,BNB,291.97,312.41,299.32,302.04,12131589.16
2024-01-27,BNB,302.04,310.16,304.18,305.69,6195411.91
2024-01-28,BNB,305.69,306.35,302.61,305.13,7989290.95
2024-01-29,BNB,305.13,317.02,310.0,310.69,7935835.75
2024-01-30,BNB,310.69,309.19,304.43,307.65,6260850.82
2024-01-31,BNB,307.65,305.63,297.29,300.18,7391212.04
2024-02-01,BNB,300.18,306.77,299.53,300.13,7696589.75
2024-02-02,BNB,300.13,305.77,300.07,301.24,5991835.32
