date,symbol,open,high,low,close,volume
2020-06-17,BTC,9526.7,9550.06,9243.06,9459.13,325191529.46
2020-06-18,BTC,9459.13,9480.04,9276.18,9380.67,236301644.47
2020-06-19,BTC,9380.67,9419.99,9239.58,9301.83,295439171.8
2020-06-20,BTC,9301.83,9394.04,9179.1,9359.18,182464228.19
2020-06-21,BTC,9359.18,9418.22,9282.53,9292.81,123480945.26
2020-06-22,BTC,9292.81,9774.79,9283.26,9691.61,393567343.68
2020-06-23,BTC,9691.61,9720.11,9580.47,9624.3,296221140.11
2020-06-24,BTC,9624.3,9664.38,9206.05,9292.94,461570781.81
2020-06-25,BTC,9292.94,9335.65,9000.53,9241.32,435446758.27
2020-06-26,BTC,9241.32,9289.32,9041.42,9158.07,371373315.29
2020-06-27,BTC,9158.07,9190.27,8867.34,9007.14,254990739.33
2020-06-28,BTC,9007.14,9189.74,8946.05,9120.39,179558602.81
2020-06-29,BTC,9120.39,9234.33,9026.42,9187.07,283764928.26
2020-06-30,BTC,9187.07,9200.99,9068.77,9136.47,213905502.74
2020-07-01,BTC,9136.47,9299.67,9097.33,9238.89,274835041.39
2020-07-02,BTC,9238.89,9267.84,8954.67,9092.8,343433369.43
2020-07-03,BTC,9092.8,9127.05,9047.38,9066.46,198428092.21
2020-07-04,BTC,9066.46,9195.91,9052.4,9142.2,147598290.89
2020-07-05,BTC,9142.2,9152.87,8935.9,9081.44,159006413.09
2020-07-06,BTC,9081.44,9372.09,9067.64,9347.05,340664721.17
2020-07-07,BTC,9347.05,9378.69,9208.31,9257.32,239497399.36
2020-07-08,BTC,9257.32,9471.65,9236.9,9439.2,350318105.76
2020-07-09,BTC,9439.2,9441.67,9171.37,9238.95,280648694.08
2020-07-10,BTC,9238.95,9317.31,9128.71,9288.57,224680670.05
2020-07-11,BTC,9288.57,9302.22,9188.13,9237.13,108899834.63
2020-07-12,BTC,9237.13,9339.99,9169.13,9300.95,151649367.79
2020-07-13,BTC,9300.95,9336.42,9201.18,9237.89,240081841.21
2020-07-14,BTC,9237.89,9279.57,9109.7,9256.07,238308476.7
2020-07-15,BTC,9256.07,9272.57,9160.89,9193.22,216386874.26
2020-07-16,BTC,9193.22,9216.53,9029.17,9133.23,254255550.28
2020-07-17,BTC,9133.23,9183.08,9080.61,9156.79,187710134.42
2020-07-18,BTC,9156.79,9205.94,9125.92,9177.22,109563331.59
2020-07-19,BTC,9177.22,9238.3,9113.41,9216.02,117297958.15
2020-07-20,BTC,9216.02,9224.76,9136.9,9164.42,171877002.63
2020-07-21,BTC,9164.42,9435.55,9162.25,9392.83,337645738.93
2020-07-22,BTC,9392.83,9551.87,9289.85,9537.24,281661129.12
2020-07-23,BTC,9537.24,9675.5,9458.25,9615.21,415079930.39
2020-07-24,BTC,9615.21,9647.83,9477.19,9550.23,323092524.09
2020-07-25,BTC,9550.23,9744.72,9536.76,9708.41,233301043.7
2020-07-26,BTC,9708.41,10140.55,9659.08,9942.01,417337407.31
2020-07-27,BTC,9942.01,11397.48,9935.51,11042.94,1363674374.42
2020-07-28,BTC,11042.94,11253.39,10590.98,10933.26,938667838.04
2020-07-29,BTC,10933.26,11348.53,10854.04,11112.04,689206497.21
2020-07-30,BTC,11112.04,11182.76,10875.14,11113.66,503563543.58
2020-07-31,BTC,11113.66,11454.11,10981.87,11352.72,608151203.91
2020-08-01,BTC,11352.72,11874.77,11240.98,11812.42,741252933.72
2020-08-02,BTC,11812.42,12106.89,10694.22,11063.5,721639453.44
2020-08-03,BTC,11063.5,11476.29,10945.66,11234.73,473995003.36
2020-08-04,BTC,11234.73,11415.16,11021.07,11194.18,393301819.23
2020-08-05,BTC,11194.18,11791.62,11095.47,11752.05,555395574.17
2020-08-06,BTC,11752.05,11909.81,11577.8,11771.27,587033759.68
2020-08-07,BTC,11771.27,11912.62,11350.42,11603.82,651142052.53
2020-08-08,BTC,11603.82,11811.4,11534.87,11770.77,271582305.12
2020-08-09,BTC,11770.77,11802.93,11533.93,11686.34,231830330.42
2020-08-10,BTC,11686.34,12074.31,11640.41,11897.41,667803525.71
2020-08-11,BTC,11897.41,11940.4,11138.6,11389.01,724227264.93
2020-08-12,BTC,11389.01,11621.05,11182.8,11570.19,430758054.54
2020-08-13,BTC,11570.19,11795.34,11284.57,11790.68,487564726.98
2020-08-14,BTC,11790.68,11863.43,11657.2,11774.52,437825096.08
2020-08-15,BTC,11774.52,11981.62,11697.88,11860.91,369258184.57
2020-08-16,BTC,11860.91,11934.96,11701.22,11917.97,260716863.02
2020-08-17,BTC,11917.97,12474.73,11775.66,12301.19,682170133.05
2020-08-18,BTC,12301.19,12397.4,11855.24,11956.69,604246043.52
2020-08-19,BTC,11956.69,12021.8,11592.2,11760.37,590122894.96
2020-08-20,BTC,11760.37,11888.72,11679.03,11863.43,510502416.84
2020-08-21,BTC,11863.43,11882.67,11494.52,11527.35,745059089.73
2020-08-22,BTC,11527.35,11686.02,11379.06,11670.42,572197825.57
2020-08-23,BTC,11670.42,11713.62,11521.6,11651.52,388308826.36
2020-08-24,BTC,11651.52,11827.45,11594.64,11756.4,459366140.6
2020-08-25,BTC,11756.4,11767.64,11130.36,11330.56,583786229.48
2020-08-26,BTC,11330.56,11542.65,11259.23,11466.89,309986442.65
2020-08-27,BTC,11466.89,11591.64,11135.52,11331.02,464957172.93
2020-08-28,BTC,11331.02,11553.81,11289.07,11535.21,353027933.9
2020-08-29,BTC,11535.21,11585.98,11433.8,11480.48,187746012.8
2020-08-30,BTC,11480.48,11718.98,11470.07,11716.54,190649396.2
2020-08-31,BTC,11716.54,11775.27,11586.36,11657.81,307926585.75
2020-09-01,BTC,11657.81,12062.06,11540.42,11926.69,537292263.85
2020-09-02,BTC,11926.69,11954.28,11219.19,11397.9,618129314.2
2020-09-03,BTC,11397.9,11469.2,10017.43,10174.62,894736678.62
2020-09-04,BTC,10174.62,10638.71,10020.02,10467.33,562742223.01
2020-09-05,BTC,10467.33,10570.95,9880.05,10167.97,614402772.13
2020-09-06,BTC,10167.97,10361.12,10019.56,10260.37,300644746.65
2020-09-07,BTC,10260.37,10411.92,9893.68,10379.08,422137373.09
2020-09-08,BTC,10379.08,10443.72,9855.68,10128.54,553186747.41
2020-09-09,BTC,10128.54,10349.09,9989.63,10228.85,346738492.44
2020-09-10,BTC,10228.85,10493.32,10221.37,10345.68,452098495.16
2020-09-11,BTC,10345.68,10412.6,10215.49,10398.5,266084892.24
2020-09-12,BTC,10398.5,10486.76,10282.43,10448.0,184001054.5
2020-09-13,BTC,10448.0,10578.97,10224.4,10332.36,299956975.1
2020-09-14,BTC,10332.36,10753.33,10259.62,10678.31,359274837.28
2020-09-15,BTC,10678.31,10936.89,10632.26,10786.7,369481767.48
