date,symbol,open,high,low,close,volume
2024-01-01,BTC,42280.14,44210.89,42187.32,44197.61,839894208.67
2024-01-02,BTC,44197.61,45918.98,44181.86,44970.34,2596745174.99
2024-01-03,BTC,44970.34,45513.73,40214.67,42854.08,3533041051.83
2024-01-04,BTC,42854.08,44797.03,42657.44,44194.38,2167748750.23
2024-01-05,BTC,44194.38,44377.15,42508.08,44178.89,2368276569.22
2024-01-06,BTC,44178.89,44248.4,43444.9,43988.33,717065469.35
2024-01-07,BTC,43988.33,44496.47,43639.57,43950.84,884154712.5
2024-01-08,BTC,43950.84,47295.94,43209.8,46988.14,3000303504.99
2024-01-09,BTC,46988.14,47923.17,44889.64,46123.0,3083632967.78
2024-01-10,BTC,46123.0,47705.84,44326.32,46667.48,3677964834.63
2024-01-11,BTC,46667.48,49054.05,45580.11,46353.15,3638877778.74
2024-01-12,BTC,46353.15,46512.17,41454.57,42776.42,3855256978.62
2024-01-13,BTC,42776.42,43243.47,42438.36,42839.19,986309535.03
2024-01-14,BTC,42839.19,43060.49,41702.53,41704.39,924871801.97
2024-01-15,BTC,41704.39,43325.88,41687.69,42491.26,1046074902.52
2024-01-16,BTC,42491.26,43562.19,42047.82,43130.88,1565259395.93
2024-01-17,BTC,43130.88,43183.19,42172.64,42739.27,1403011843.2
2024-01-18,BTC,42739.27,42876.35,40606.86,41286.68,1885882508.36
2024-01-19,BTC,41286.68,42151.57,40246.58,41625.47,1864062474.18
2024-01-20,BTC,41625.47,41846.45,41433.27,41677.08,544668570.57
2024-01-21,BTC,41677.08,41862.83,41493.59,41570.17,382561229.54
2024-01-22,BTC,41570.17,41669.9,39396.81,39523.63,2270442343.15
2024-01-23,BTC,39523.63,40136.09,38512.34,39876.44,1805745649.27
2024-01-24,BTC,39876.44,40526.25,39429.31,40078.62,1476062916.95
2024-01-25,BTC,40078.62,40280.91,39523.94,39941.74,1164224625.52
2024-01-26,BTC,39941.74,42227.71,39814.87,41816.55,1763833855.75
2024-01-27,BTC,41816.55,42191.83,41393.22,42124.02,444567824.09
2024-01-28,BTC,42124.02,42822.8,41632.18,42028.92,702267432.76
2024-01-29,BTC,42028.92,43308.42,41804.05,43302.28,1184671101.99
2024-01-30,BTC,43302.28,43855.77,42690.4,42943.64,1498626265.1
2024-01-31,BTC,42943.64,43734.38,42276.82,42555.08,1695950546.73
2024-02-01,BTC,42555.08,43267.39,41855.88,43073.2,1234469121.23
2024-02-02,BTC,43073.2,43452.76,42536.21,43181.71,1152442855.72
2024-02-03,BTC,43181.71,43355.76,42874.37,42999.52,325725942.96
2024-02-04,BTC,42999.52,43093.79,42232.02,42570.21,410404369.06
2024-02-05,BTC,42570.21,43518.7,41931.59,42664.56,1062866796.14
2024-02-06,BTC,42664.56,43360.05,42526.92,43091.51,966265875.57
2024-02-07,BTC,43091.51,44402.0,42766.8,44339.04,1319628672.43
2024-02-08,BTC,44339.04,45622.13,44333.87,45304.61,1785332802.43
2024-02-09,BTC,45304.61,48208.27,45257.22,47154.23,2379925849.32
2024-02-10,BTC,47154.23,48166.14,46894.61,47768.12,780554926.36
2024-02-11,BTC,47768.12,48597.46,47592.04,48311.16,956986637.1
2024-02-12,BTC,48311.16,50339.2,47718.59,49942.97,2319184140.26
2024-02-13,BTC,49942.97,50392.92,48336.83,49733.11,2075339722.8
2024-02-14,BTC,49733.11,52085.66,49272.58,51844.19,2252886326.88
2024-02-15,BTC,51844.19,52845.45,51357.81,51934.57,2239765884.49
2024-02-16,BTC,51934.57,52598.05,51604.88,52163.28,1680749372.19
2024-02-17,BTC,52163.28,52201.89,50647.34,51668.78,910308869.83
2024-02-18,BTC,51668.78,52393.59,51194.3,52139.33,762533081.81
2024-02-19,BTC,52139.33,52487.6,51691.25,51781.22,989270690.85
2024-02-20,BTC,51781.22,52985.95,50766.77,52269.59,2050493239.79
2024-02-21,BTC,52269.59,52375.42,50633.49,51854.36,1676374071.14
2024-02-22,BTC,51854.36,52056.01,50914.97,51263.67,1573393306.75
2024-02-23,BTC,51263.67,51509.58,50523.07,50744.07,1345274652.99
2024-02-24,BTC,50744.07,51687.88,50583.66,51574.61,548313000.54
2024-02-25,BTC,51574.61,51957.87,51288.57,51727.63,640224439.02
2024-02-26,BTC,51727.63,54939.87,50920.53,54518.58,2550669499.35
2024-02-27,BTC,54518.58,57612.94,54483.19,57071.6,3546751167.69
2024-02-28,BTC,57071.6,64086.08,56726.31,62507.1,6171823618.31
2024-02-29,BTC,62507.1,63652.76,60370.98,61179.58,5259277822.5
2024-03-01,BTC,61179.58,63226.77,60795.21,62431.25,3267402863.37
2024-03-02,BTC,62431.25,62479.07,61631.05,62038.39,1257238241.46
2024-03-03,BTC,62038.39,63254.84,61392.4,63149.43,1265273119.48
