date,symbol,open,high,low,close,volume
2024-01-01,ETH,2281.36,2352.66,2265.26,2352.65,402344005.13
2024-01-02,ETH,2352.65,2432.62,2343.68,2356.28,822251765.93
2024-01-03,ETH,2356.28,2385.27,2092.33,2210.57,1186045453.16
2024-01-04,ETH,2210.57,2296.81,2203.62,2269.47,726479158.46
2024-01-05,ETH,2269.47,2277.99,2208.01,2270.21,636927548.08
2024-01-06,ETH,2270.21,2271.59,2218.09,2241.73,344776545.69
2024-01-07,ETH,2241.73,2258.2,2207.13,2222.73,368349920.27
2024-01-08,ETH,2222.73,2360.37,2168.41,2332.66,729642394.88
2024-01-09,ETH,2332.66,2373.21,2231.3,2344.97,935753315.62
2024-01-10,ETH,2344.97,2643.46,2341.51,2584.69,1859360455.9
2024-01-11,ETH,2584.69,2690.17,2567.23,2618.71,1478952412.93
2024-01-12,ETH,2618.71,2717.2,2455.87,2522.11,1587803065.78
2024-01-13,ETH,2522.11,2589.5,2497.1,2577.89,789992067.14
2024-01-14,ETH,2577.89,2578.65,2468.6,2470.94,554407683.57
2024-01-15,ETH,2470.94,2551.4,2469.25,2510.12,532405002.36
2024-01-16,ETH,2510.12,2613.41,2498.62,2586.91,665381293.48
2024-01-17,ETH,2586.91,2592.23,2505.29,2528.09,546139971.58
2024-01-18,ETH,2528.09,2546.7,2424.13,2468.6,747913574.26
2024-01-19,ETH,2468.6,2501.85,2412.93,2490.05,743840311.23
2024-01-20,ETH,2490.05,2490.05,2452.6,2470.31,283565628.23
2024-01-21,ETH,2470.31,2480.59,2451.91,2455.35,207909134.54
2024-01-22,ETH,2455.35,2464.27,2302.07,2311.54,908763742.8
2024-01-23,ETH,2311.54,2349.2,2165.34,2241.32,1064700522.86
2024-01-24,ETH,2241.32,2262.69,2195.63,2234.13,605305544.17
2024-01-25,ETH,2234.13,2241.03,2170.05,2217.5,536955642.14
2024-01-26,ETH,2217.5,2281.01,2194.89,2267.33,631732275.0
2024-01-27,ETH,2267.33,2282.56,2251.19,2267.97,275424730.41
2024-01-28,ETH,2267.97,2307.73,2239.84,2256.6,376754792.96
2024-01-29,ETH,2256.6,2322.48,2233.69,2317.51,490260629.87
2024-01-30,ETH,2317.51,2391.57,2297.16,2343.1,655413615.82
2024-01-31,ETH,2343.1,2351.47,2263.16,2281.77,621018581.0
2024-02-01,ETH,2281.77,2310.4,2239.78,2303.34,495660912.66
2024-02-02,ETH,2303.34,2323.08,2280.8,2307.85,441562111.31
2024-02-03,ETH,2307.85,2328.23,2292.31,2295.87,222308235.56
2024-02-04,ETH,2295.87,2309.1,2267.59,2288.68,326706078.21
2024-02-05,ETH,2288.68,2335.71,2268.15,2299.16,456661905.21
2024-02-06,ETH,2299.16,2392.04,2296.27,2372.2,718267813.82
2024-02-07,ETH,2372.2,2473.23,2353.16,2424.33,652240112.9
2024-02-08,ETH,2424.33,2462.14,2411.45,2419.79,846989854.44
2024-02-09,ETH,2419.79,2523.95,2419.06,2487.62,1002058339.27
2024-02-10,ETH,2487.62,2517.14,2473.58,2500.87,376068111.04
2024-02-11,ETH,2500.87,2540.37,2494.72,2507.91,421659247.33
2024-02-12,ETH,2507.91,2666.3,2472.79,2660.56,833389992.06
2024-02-13,ETH,2660.56,2686.7,2591.27,2641.6,1025294105.03
2024-02-14,ETH,2641.6,2788.42,2619.8,2777.51,980680072.11
2024-02-15,ETH,2777.51,2867.69,2762.64,2825.35,1118227404.91
2024-02-16,ETH,2825.35,2859.47,2744.76,2804.05,896210606.48
2024-02-17,ETH,2804.05,2806.14,2720.42,2787.0,458634232.92
2024-02-18,ETH,2787.0,2895.47,2766.78,2881.4,610424136.56
