date,symbol,open,high,low,close,volume
2024-01-01,SOL,101.73,110.25,101.48,110.02,185540221.33
2024-01-02,SOL,110.02,117.0,106.05,106.76,336798402.45
2024-01-03,SOL,106.76,109.96,84.21,98.59,473070625.93
2024-01-04,SOL,98.59,108.13,96.77,105.02,265350577.19
2024-01-05,SOL,105.02,105.48,95.4,100.01,227782153.75
2024-01-06,SOL,100.01,100.31,91.66,93.83,155614848.08
2024-01-07,SOL,93.83,96.81,87.87,89.49,194515458.54
2024-01-08,SOL,89.49,99.98,85.49,98.01,387659355.78
2024-01-09,SOL,98.01,104.15,95.45,99.45,312351025.26
2024-01-10,SOL,99.45,105.6,92.23,102.01,339477432.84
2024-01-11,SOL,102.01,107.19,97.55,99.9,365424742.88
2024-01-12,SOL,99.9,100.47,86.94,92.06,260070066.81
2024-01-13,SOL,92.06,97.29,89.53,95.84,176768882.52
2024-01-14,SOL,95.84,104.4,93.68,93.8,292699629.29
2024-01-15,SOL,93.8,96.89,93.01,94.32,146162213.98
2024-01-16,SOL,94.32,98.69,94.1,97.59,120612864.67
2024-01-17,SOL,97.59,102.7,96.72,102.07,298186323.38
2024-01-18,SOL,102.07,103.45,91.48,94.31,243385487.07
2024-01-19,SOL,94.31,95.34,87.02,93.59,236970884.44
2024-01-20,SOL,93.59,94.13,90.17,92.75,83748239.1
2024-01-21,SOL,92.75,93.85,90.74,91.0,65332591.64
2024-01-22,SOL,91.0,91.83,82.01,83.74,219210749.54
2024-01-23,SOL,83.74,85.87,78.91,84.29,225799604.31
2024-01-24,SOL,84.29,89.37,83.29,88.74,178313499.48
2024-01-25,SOL,88.74,89.54,85.07,86.86,137852670.3
2024-01-26,SOL,86.86,93.68,85.91,92.23,174425970.74
2024-01-27,SOL,92.23,94.62,90.69,94.26,106729187.42
2024-01-28,SOL,94.26,99.42,93.48,95.97,186982453.62
2024-01-29,SOL,95.97,101.95,95.07,101.67,238040517.8
2024-01-30,SOL,101.67,106.39,100.99,101.4,297805475.9
2024-01-31,SOL,101.4,102.72,95.89,96.89,328718164.93
2024-02-01,SOL,96.89,98.84,93.02,97.78,276962628.41
2024-02-02,SOL,97.78,102.47,97.4,100.51,237623484.03
2024-02-03,SOL,100.51,101.15,96.62,97.9,123482853.55
2024-02-04,SOL,97.9,98.51,95.08,95.42,88845759.37
2024-02-05,SOL,95.42,98.57,94.14,95.5,130720524.4
2024-02-06,SOL,95.5,97.87,93.1,96.85,175268770.87
2024-02-07,SOL,96.85,101.5,94.6,101.11,163367999.65
2024-02-08,SOL,101.11,105.13,100.54,102.79,304200342.32
2024-02-09,SOL,102.79,109.13,102.79,106.96,284133095.94
2024-02-10,SOL,106.96,110.97,106.94,109.07,191350917.01
2024-02-11,SOL,109.07,110.68,107.33,107.48,123656050.35
2024-02-12,SOL,107.48,112.24,103.46,111.73,242583696.4
2024-02-13,SOL,111.73,115.1,108.36,112.57,240524754.18
2024-02-14,SOL,112.57,118.71,110.7,117.11,219814138.14
2024-02-15,SOL,117.11,118.44,111.61,113.61,225648861.95
2024-02-16,SOL,113.61,114.28,108.03,110.4,156412743.41
2024-02-17,SOL,110.4,111.13,105.68,108.96,89174506.03
2024-02-18,SOL,108.96,114.05,107.57,112.24,107084480.34
2024-02-19,SOL,112.24,114.86,110.83,111.55,144565964.11
2024-02-20,SOL,111.55,112.1,103.88,108.35,217470943.74
2024-02-21,SOL,108.35,108.38,100.22,105.06,192848425.31
2024-02-22,SOL,105.06,107.07,101.48,101.69,160312191.72
2024-02-23,SOL,101.69,103.05,98.71,99.89,110488508.04
2024-02-24,SOL,99.89,104.74,98.5,104.04,88103065.8
2024-02-25,SOL,104.04,104.38,102.08,103.47,63235359.07
2024-02-26,SOL,103.47,110.82,100.32,109.97,234405451.59
2024-02-27,SOL,109.97,112.48,105.4,108.42,237619397.53
2024-02-28,SOL,108.42,118.98,107.38,118.98,459270090.34
2024-02-29,SOL,118.98,134.67,117.35,125.7,665347674.19
2024-03-01,SOL,125.7,137.78,125.69,129.52,405596832.0
2024-03-02,SOL,129.52,131.68,127.44,130.15,223568738.39
2024-03-03,SOL,130.15,132.19,124.87,130.25,210788622.11
2024-03-04,SOL,130.25,134.99,127.68,133.36,361205369.22
2024-03-05,SOL,133.36,142.73,109.61,125.58,756083326.32
2024-03-06,SOL,125.58,134.92,120.3,130.89,381104039.91
