date,symbol,open,high,low,close,volume
2024-01-01,USDC,1.0,1.001,0.9547,1.0,19503.99
2024-01-02,USDC,1.0,1.021,0.9825,1.0,57448.04
2024-01-03,USDC,1.0,1.062,0.9383,0.9999,82046.18
2024-01-04,USDC,0.9999,1.014,0.9653,1.0,49540.72
2024-01-05,USDC,1.0,1.004,0.9621,1.0,54167.08
2024-01-06,USDC,1.0,1.006,0.9876,1.0,16351.74
2024-01-07,USDC,1.0,1.012,0.9929,0.9999,20055.05
2024-01-08,USDC,0.9999,1.007,0.9196,1.0,66055.64
2024-01-09,USDC,1.0,1.039,0.9733,1.0,66283.97
2024-01-10,USDC,1.0,1.022,0.9498,1.0,80224.54
2024-01-11,USDC,1.0,1.059,0.9836,1.0,77569.86
2024-01-12,USDC,1.0,1.078,0.9739,1.0,608566.68
2024-01-13,USDC,1.0,1.004,0.9687,1.0,309807.52
2024-01-14,USDC,1.0,1.033,1.0,1.0,21730.52
2024-01-15,USDC,1.0,1.02,0.9812,1.0,24564.4
2024-01-16,USDC,1.0,1.01,0.975,1.0,36433.21
2024-01-17,USDC,1.0,1.011,0.9869,1.0,32915.28
2024-01-18,USDC,1.0,1.038,0.9835,1.0,45178.38
2024-01-19,USDC,1.0,1.013,0.967,1.0,45195.92
2024-01-20,USDC,1.0,1.004,0.9945,1.0,13100.49
2024-01-21,USDC,1.0,1.007,0.9985,1.0,9180.26
2024-01-22,USDC,1.0,1.054,0.9968,1.0,56112.15
2024-01-23,USDC,1.0,1.007,0.9661,1.0,46020.05
2024-01-24,USDC,1.0,1.011,0.9841,1.0,37019.4
2024-01-25,USDC,1.0,1.009,0.9897,1.0,29187.82
2024-01-26,USDC,1.0,1.01,0.9522,1.0,42743.15
2024-01-27,USDC,1.0,1.002,0.9827,1.0,10632.66
2024-01-28,USDC,1.0,1.019,0.9906,1.0,16616.02
2024-01-29,USDC,1.0,1.0,0.9655,1.0,27785.19
2024-01-30,USDC,1.0,1.021,0.9941,1.0,34500.29
2024-01-31,USDC,1.0,1.028,0.9935,1.0,39494.19
2024-02-01,USDC,1.0,1.005,0.9718,1.0,29020.67
2024-02-02,USDC,1.0,1.006,0.9851,1.0,26781.63
2024-02-03,USDC,1.0,1.008,0.997,0.9999,7555.93
2024-02-04,USDC,0.9999,1.009,0.9908,1.0,142388.81
2024-02-05,USDC,1.0,1.02,0.9831,1.0,24873.65
2024-02-06,USDC,1.0,1.008,0.968,1.0,306245.9
2024-02-07,USDC,1.0,1.001,0.9645,1.0,30330.96
2024-02-08,USDC,1.0,1.007,0.9786,1.0,39657.18
2024-02-09,USDC,1.0,1.022,0.9598,1.0,50593.42
2024-02-10,USDC,1.0,1.008,0.9817,1.0,16452.63
2024-02-11,USDC,1.0,1.006,0.985,0.9999,19856.96
2024-02-12,USDC,0.9999,1.008,0.9556,1.0,47117.92
2024-02-13,USDC,1.0,1.013,0.9721,1.0,42036.19
2024-02-14,USDC,1.0,1.005,0.9505,1.0,43952.59
2024-02-15,USDC,1.0,1.018,0.9889,1.0,42990.87
2024-02-16,USDC,1.0,1.008,0.9893,1.0,32296.2
2024-02-17,USDC,1.0,1.01,0.9804,1.0,17699.11
2024-02-18,USDC,1.0,1.005,0.9605,1.0,216319.18
2024-02-19,USDC,1.0,1.013,0.9704,1.0,326672.58
2024-02-20,USDC,1.0,1.006,0.9533,0.9999,436593.72
2024-02-21,USDC,0.9999,1.016,0.9666,1.0,416906.32
2024-02-22,USDC,1.0,1.022,0.9788,1.0,398880.51
2024-02-23,USDC,1.0,1.024,0.9946,1.0,269468.97
2024-02-24,USDC,1.0,1.004,0.9713,1.0,144996.73
2024-02-25,USDC,1.0,1.002,0.9585,0.9999,265754.53
2024-02-26,USDC,1.0,1.008,0.934,0.9999,47958.84
2024-02-27,USDC,0.9999,1.01,0.9547,1.0,62690.72
2024-02-28,USDC,1.0,1.025,0.9077,1.0,102201.75
2024-02-29,USDC,1.0,1.04,0.9867,0.9999,84703.89
2024-03-01,USDC,0.9999,1.013,0.9737,0.9999,52742.99
2024-03-02,USDC,0.9999,1.007,0.9933,0.9999,20262.69
2024-03-03,USDC,0.9999,1.001,0.9643,0.9998,174094.45
2024-03-04,USDC,0.9999,1.003,0.9126,1.0,79181.12
2024-03-05,USDC,1.0,1.085,0.9288,0.9999,126854.88
2024-03-06,USDC,0.9999,1.023,0.9506,1.0,68029.2
2024-03-07,USDC,1.0,1.017,0.9802,0.9998,41793.85
2024-03-08,USDC,0.9998,1.027,0.9691,0.9998,59351.7
2024-03-09,USDC,0.9999,1.009,0.9914,0.9999,138291.09
2024-03-10,USDC,0.9996,1.014,0.9883,1.0,27686.46
2024-03-11,USDC,1.0,1.011,0.9316,0.9999,62704.06
2024-03-12,USDC,0.9999,1.021,0.9604,0.9998,58533.01
2024-03-13,USDC,0.9998,1.007,0.9754,0.9998,41307.37
2024-03-14,USDC,0.9998,1.034,0.9596,0.9999,60692.67
2024-03-15,USDC,0.9999,1.041,0.9434,0.9998,73343.77
2024-03-16,USDC,0.9998,1.073,0.9926,0.9999,33954.49
2024-03-17,USDC,0.9999,1.008,0.9441,1.0,29367.51
2024-03-18,USDC,1.0,1.019,0.9848,0.9999,38539.77
2024-03-19,USDC,0.9999,1.1,0.994,1.0,75876.14
2024-03-20,USDC,1.0,1.004,0.8959,1.0,69682.09
2024-03-21,USDC,1.0,1.042,0.9857,1.0,38239.21
2024-03-22,USDC,1.0,1.044,0.9767,1.0,37347.04
2024-03-23,USDC,1.0,1.031,0.9847,1.0,19359.7
2024-03-24,USDC,1.0,1.006,0.9493,1.0,19120.25
2024-03-25,USDC,1.0,1.019,0.95,0.9999,46097.78
2024-03-26,USDC,0.9999,1.022,0.9901,1.0,32991.03
2024-03-27,USDC,1.0,1.034,0.9849,1.0,40452.63
2024-03-28,USDC,1.0,1.011,0.9727,0.9999,31341.32
2024-03-29,USDC,0.9999,1.015,0.988,1.0,17384.84
2024-03-30,USDC,1.0,1.011,0.9996,1.0,7372.59
2024-03-31,USDC,1.0,1.001,0.9763,1.0,10570.78
2024-04-01,USDC,1.0,1.024,0.9769,1.0,28894.2
2024-04-02,USDC,1.0,1.064,0.9861,0.9998,48894.38
2024-04-03,USDC,0.9998,1.014,0.9777,1.0,27791.8
2024-04-04,USDC,1.0,1.012,0.9499,1.0,36677.34
2024-04-05,USDC,1.0,1.014,0.9727,1.0,32910.29
2024-04-06,USDC,1.0,1.011,0.9792,0.9999,11313.76
2024-04-07,USDC,0.9999,1.014,0.9931,1.0,13691.44
2024-04-08,USDC,1.0,1.016,0.9643,1.0,36461.79
2024-04-09,USDC,1.0,1.038,0.9868,1.0,34541.56
2024-04-10,USDC,1.0,1.007,0.9554,0.9999,37140.17
2024-04-11,USDC,0.9999,1.018,0.9934,1.0,24990.72
2024-04-12,USDC,1.0,1.061,0.9719,1.0,49342.01
2024-04-13,USDC,1.0,1.069,0.9541,1.0,56920.54
2024-04-14,USDC,1.0,1.002,0.9467,1.001,40989.49
2024-04-15,USDC,1.001,1.055,0.9824,1.0,40981.4
2024-04-16,USDC,1.0,1.009,0.9662,1.0,35544.08
2024-04-17,USDC,1.0,1.053,0.974,1.0,41509.85
2024-04-18,USDC,1.0,1.011,0.9578,1.0,31455.07
2024-04-19,USDC,1.0,1.026,0.9336,1.0,46061.24
2024-04-20,USDC,1.0,1.007,0.9719,1.0,13466.53
2024-04-21,USDC,1.0,1.012,0.9896,1.0,13152.04
2024-04-22,USDC,1.0,1.006,0.9654,1.0,22842.29
2024-04-23,USDC,1.0,1.012,0.9912,0.9999,17574.68
2024-04-24,USDC,0.9999,1.044,0.9892,1.0,28790.8
2024-04-25,USDC,1.0,1.012,0.9732,1.0,26729.61
2024-04-26,USDC,1.0,1.016,0.9931,1.0,19915.12
2024-04-27,USDC,1.0,1.008,0.9841,1.0,12688.06
2024-04-28,USDC,1.0,1.029,0.9954,1.0,205456.57
2024-04-29,USDC,1.0,1.005,0.9675,1.0,21850.55
2024-04-30,USDC,1.0,1.068,0.9749,1.0,41221.36
2024-05-01,USDC,1.0,1.043,0.9699,1.0,52062.31
2024-05-02,USDC,1.0,1.009,0.9639,1.0,29479.88
2024-05-03,USDC,1.0,1.007,0.9353,1.0,35187.04
2024-05-04,USDC,1.0,1.01,0.9794,1.0,16207.39
2024-05-05,USDC,1.0,1.009,0.9827,1.0,12597.34
2024-05-06,USDC,1.0,1.037,0.9928,1.0,24081.61
2024-05-07,USDC,1.0,1.033,0.9992,1.0,20907.27
2024-05-08,USDC,1.0,1.03,0.995,1.0,18595.89
2024-05-09,USDC,1.0,1.006,0.9613,1.0,18443.48
2024-05-10,USDC,1.0,1.044,0.99,1.0,25391.44
2024-05-11,USDC,1.0,1.011,0.9943,1.0,8298.4
2024-05-12,USDC,1.0,1.006,0.9862,1.0,8215.6
2024-05-13,USDC,1.0,1.008,0.9656,1.0,21252.39
2024-05-14,USDC,1.0,1.025,0.9926,1.0,26392.02
2024-05-15,USDC,1.0,1.003,0.9258,1.0,40710.89
2024-05-16,USDC,1.0,1.023,0.9901,1.0,24277.25
2024-05-17,USDC,1.0,1.007,0.9713,1.0,23342.0
2024-05-18,USDC,1.0,1.007,0.9956,1.0,8752.29
2024-05-19,USDC,1.0,1.022,0.9942,1.0,9726.38
2024-05-20,USDC,1.0,1.001,0.9248,0.9998,38253.66
2024-05-21,USDC,0.9997,1.013,0.957,1.0,610879.78
2024-05-22,USDC,1.0,1.022,0.9974,0.9999,22979.07
2024-05-23,USDC,1.0,1.044,0.9376,1.0,669323.57
2024-05-24,USDC,1.0,1.027,0.9735,1.0,288759.39
2024-05-25,USDC,1.0,1.005,0.9887,1.0,5972.34
2024-05-26,USDC,1.0,1.015,0.9757,1.0,161503.26
2024-05-27,USDC,1.0,1.018,0.9834,1.0,13112.59
2024-05-28,USDC,1.0,1.018,0.9836,1.0,22225.39
2024-05-29,USDC,1.0,1.019,0.9931,1.0,16356.6
