date,symbol,open,high,low,close,volume
2024-01-01,USDT,0.9999,1.001,0.9549,1.0,19507.29
2024-01-02,USDT,1.0,1.022,0.9829,1.0,57469.37
2024-01-03,USDT,1.0,1.062,0.9386,1.0,82076.82
2024-01-04,USDT,1.0,1.015,0.9661,1.001,49586.28
2024-01-05,USDT,1.001,1.005,0.9629,1.001,54209.93
2024-01-06,USDT,1.001,1.006,0.9881,1.0,16359.68
2024-01-07,USDT,1.0,1.013,0.9934,1.001,20066.7
2024-01-08,USDT,1.001,1.007,0.9203,1.001,66109.47
2024-01-09,USDT,1.001,1.039,0.9735,1.0,66300.85
2024-01-10,USDT,1.0,1.023,0.9502,1.0,80255.63
2024-01-11,USDT,1.0,1.059,0.9836,1.0,77570.09
2024-01-12,USDT,1.0,1.087,0.9689,0.9998,87015.34
2024-01-13,USDT,0.9998,1.009,0.9905,0.9998,23020.24
2024-01-14,USDT,0.9998,1.032,0.9993,0.9993,21715.71
2024-01-15,USDT,0.9993,1.019,0.9805,0.9994,24546.66
2024-01-16,USDT,0.9994,1.01,0.9747,0.9998,36421.74
2024-01-17,USDT,0.9998,0.9999,0.9987,0.9991,703082335.53
2024-01-18,USDT,0.9991,1.038,0.9826,0.9991,45138.51
2024-01-19,USDT,0.9991,1.012,0.9661,0.9992,45154.31
2024-01-20,USDT,0.9992,1.004,0.9937,0.9996,13090.49
2024-01-21,USDT,0.9996,1.007,0.9979,0.9997,9174.54
2024-01-22,USDT,0.9997,1.053,0.9957,0.9989,56046.96
2024-01-23,USDT,0.9989,1.006,0.9652,0.9994,45981.64
2024-01-24,USDT,0.9994,1.011,0.9836,0.9998,37004.01
2024-01-25,USDT,0.9998,1.008,0.9891,0.9995,29169.68
2024-01-26,USDT,0.9995,1.01,0.952,0.9999,42733.8
2024-01-27,USDT,0.9999,1.002,0.9827,1.0,10633.29
2024-01-28,USDT,1.0,1.019,0.9905,0.9999,16614.55
2024-01-29,USDT,0.9999,1.0,0.9654,1.0,27784.54
2024-01-30,USDT,1.0,1.021,0.9941,1.0,34500.9
2024-01-31,USDT,1.0,1.027,0.9929,0.9994,39466.97
2024-02-01,USDT,0.9994,1.004,0.9715,0.9998,29011.35
2024-02-02,USDT,0.9998,1.006,0.9846,0.9996,26768.16
2024-02-03,USDT,0.9996,1.008,0.9968,0.9997,7554.48
2024-02-04,USDT,0.9997,1.012,0.9917,0.9996,9585.96
2024-02-05,USDT,0.9996,0.9998,0.9986,0.9988,543116173.03
2024-02-06,USDT,0.999,1.006,0.9867,0.9998,22479.56
2024-02-07,USDT,0.9998,1.001,0.9643,0.9998,30324.72
2024-02-08,USDT,0.9998,1.007,0.9789,1.0,39668.1
2024-02-09,USDT,1.0,1.023,0.9602,1.0,50614.31
2024-02-10,USDT,1.0,1.009,0.9821,1.0,16458.59
2024-02-11,USDT,1.0,1.006,0.9854,1.0,19863.83
2024-02-12,USDT,1.0,1.008,0.9559,1.0,47134.12
2024-02-13,USDT,1.0,1.014,0.9726,1.001,42055.57
2024-02-14,USDT,1.001,1.006,0.9513,1.001,43991.64
2024-02-15,USDT,1.001,1.019,0.9899,1.001,43034.84
2024-02-16,USDT,1.001,1.009,0.99,1.001,32319.21
2024-02-17,USDT,1.001,1.011,0.9807,1.0,17705.16
2024-02-18,USDT,1.0,1.005,0.9819,1.0,14717.35
2024-02-19,USDT,1.0,1.014,0.9984,1.0,18982.44
2024-02-20,USDT,1.0,1.014,0.9714,1.0,39510.44
2024-02-21,USDT,1.0,1.01,0.9766,1.0,32669.49
2024-02-22,USDT,1.0,1.015,0.9926,0.9994,30484.5
2024-02-23,USDT,0.9994,1.015,0.9956,1.0,26365.09
2024-02-24,USDT,1.0,1.002,0.9809,1.0,10708.79
2024-02-25,USDT,0.9999,1.002,0.9586,1.0,265780.14
2024-02-26,USDT,1.0,1.008,0.9347,1.001,47997.96
2024-02-27,USDT,1.001,1.01,0.9552,1.001,62720.19
2024-02-28,USDT,1.001,1.027,0.9086,1.001,102305.41
2024-02-29,USDT,1.001,1.041,0.9875,1.001,84770.07
2024-03-01,USDT,1.001,1.014,0.9745,1.001,52787.75
2024-03-02,USDT,1.001,1.008,0.9942,1.001,20279.15
2024-03-03,USDT,1.001,1.002,0.9727,1.001,20312.66
2024-03-04,USDT,1.001,1.005,0.9138,1.001,79286.03
