date,symbol,open,high,low,close,volume
2024-01-01,XRP,0.6153,0.631,0.6084,0.6298,31921207.28
2024-01-02,XRP,0.6298,0.6401,0.622,0.6246,69654840.01
2024-01-03,XRP,0.6246,0.6392,0.4962,0.5826,170644081.94
2024-01-04,XRP,0.5826,0.5945,0.57,0.5874,79903590.51
2024-01-05,XRP,0.5874,0.5892,0.5547,0.5763,82120434.08
2024-01-06,XRP,0.5763,0.5764,0.5574,0.5683,28101990.35
2024-01-07,XRP,0.5683,0.5732,0.5465,0.5518,30841077.57
2024-01-08,XRP,0.5518,0.5821,0.5453,0.5781,96955976.7
2024-01-09,XRP,0.5781,0.579,0.555,0.5669,107754625.0
2024-01-10,XRP,0.5669,0.6137,0.5494,0.6005,127486286.45
2024-01-11,XRP,0.6005,0.6236,0.586,0.6019,109371417.13
2024-01-12,XRP,0.6019,0.6034,0.5552,0.5698,85289650.53
2024-01-13,XRP,0.5698,0.5774,0.5631,0.5746,23304468.69
2024-01-14,XRP,0.5746,0.5926,0.5716,0.5759,35728110.06
2024-01-15,XRP,0.5759,0.5889,0.5685,0.5753,47326687.4
2024-01-16,XRP,0.5753,0.5798,0.566,0.5755,42860436.47
2024-01-17,XRP,0.5755,0.5762,0.5608,0.568,51694447.57
2024-01-18,XRP,0.568,0.5683,0.543,0.5515,69806119.11
2024-01-19,XRP,0.5515,0.5533,0.5216,0.5438,97774344.94
2024-01-20,XRP,0.5438,0.5547,0.5388,0.5532,45424819.94
2024-01-21,XRP,0.5532,0.5549,0.5453,0.5461,19297306.88
2024-01-22,XRP,0.5461,0.5489,0.5171,0.5269,60345886.42
2024-01-23,XRP,0.5269,0.5312,0.4959,0.5178,56293437.0
2024-01-24,XRP,0.5178,0.5189,0.5107,0.518,44447178.88
2024-01-25,XRP,0.518,0.5181,0.5037,0.5135,45382378.96
2024-01-26,XRP,0.5135,0.5355,0.5082,0.532,47708774.33
2024-01-27,XRP,0.532,0.5346,0.5262,0.5303,15357729.06
2024-01-28,XRP,0.5303,0.5354,0.5211,0.5241,19548273.55
2024-01-29,XRP,0.5241,0.5397,0.5193,0.5351,43401088.61
2024-01-30,XRP,0.5351,0.539,0.5078,0.5109,56483482.57
2024-01-31,XRP,0.5109,0.515,0.4883,0.5029,72200835.84
2024-02-01,XRP,0.5029,0.5104,0.4897,0.5058,54360041.78
2024-02-02,XRP,0.5058,0.5136,0.4988,0.5103,45856996.24
2024-02-03,XRP,0.5103,0.5268,0.5059,0.5187,41368709.1
2024-02-04,XRP,0.5187,0.519,0.5013,0.503,19158049.95
2024-02-05,XRP,0.503,0.5131,0.4969,0.5062,48373757.76
2024-02-06,XRP,0.5062,0.5108,0.4982,0.505,36619180.19
2024-02-07,XRP,0.505,0.5152,0.4991,0.5137,45320254.26
2024-02-08,XRP,0.5137,0.5188,0.5102,0.5147,53605470.42
2024-02-09,XRP,0.5147,0.5285,0.5141,0.5263,44241536.39
2024-02-10,XRP,0.5263,0.5283,0.519,0.5241,20251390.9
2024-02-11,XRP,0.5241,0.536,0.5218,0.5263,29764712.18
2024-02-12,XRP,0.5263,0.538,0.5145,0.5317,41925511.45
2024-02-13,XRP,0.5317,0.5338,0.5148,0.5247,42694102.57
2024-02-14,XRP,0.5247,0.5423,0.5206,0.5383,48278427.14
2024-02-15,XRP,0.5383,0.5781,0.5375,0.5627,89613501.54
2024-02-16,XRP,0.5627,0.5793,0.5534,0.5646,69961717.55
2024-02-17,XRP,0.5646,0.5658,0.5398,0.5499,33488481.62
2024-02-18,XRP,0.5499,0.5627,0.5474,0.5573,23844489.82
2024-02-19,XRP,0.5573,0.5678,0.5541,0.5628,42760297.61
2024-02-20,XRP,0.5628,0.5749,0.5451,0.5626,75338588.91
2024-02-21,XRP,0.5626,0.5629,0.533,0.5491,50084165.86
2024-02-22,XRP,0.5491,0.5515,0.5365,0.5408,47543112.09
2024-02-23,XRP,0.5408,0.5433,0.526,0.5341,41858702.97
2024-02-24,XRP,0.5341,0.5478,0.5314,0.5451,21680730.49
2024-02-25,XRP,0.5451,0.5485,0.5419,0.5425,18390740.8
2024-02-26,XRP,0.5425,0.5529,0.5288,0.5511,47462285.38
2024-02-27,XRP,0.5511,0.5972,0.5481,0.5865,111770094.38
2024-02-28,XRP,0.5865,0.6064,0.5313,0.5757,137591638.82
2024-02-29,XRP,0.5757,0.6256,0.5681,0.5868,158440477.05
2024-03-01,XRP,0.5868,0.6035,0.5833,0.6017,74966882.09
2024-03-02,XRP,0.6017,0.6512,0.6001,0.6449,126605554.85
2024-03-03,XRP,0.6449,0.6449,0.5917,0.6271,73135741.52
2024-03-04,XRP,0.6271,0.6653,0.6173,0.6486,146539593.65
2024-03-05,XRP,0.6486,0.6696,0.5378,0.5922,224577922.22
2024-03-06,XRP,0.5922,0.624,0.5762,0.6122,140738100.28
2024-03-07,XRP,0.6122,0.6401,0.6069,0.6282,120600602.56
2024-03-08,XRP,0.6282,0.6345,0.6034,0.6213,99196180.08
2024-03-09,XRP,0.6213,0.6337,0.6177,0.6211,49067331.6
2024-03-10,XRP,0.6211,0.6287,0.5975,0.6086,53149494.83
2024-03-11,XRP,0.6086,0.7473,0.5847,0.7228,320734795.08
2024-03-12,XRP,0.7228,0.733,0.659,0.6881,199191508.48
2024-03-13,XRP,0.6881,0.7024,0.6693,0.6895,104550355.71
2024-03-14,XRP,0.6895,0.7073,0.6384,0.669,145646699.77
2024-03-15,XRP,0.669,0.6752,0.5964,0.6342,142361510.4
2024-03-16,XRP,0.6342,0.6473,0.5929,0.6026,67410907.62
2024-03-17,XRP,0.6026,0.6245,0.5868,0.6188,54520131.43
2024-03-18,XRP,0.6188,0.6688,0.595,0.6454,105520098.91
2024-03-19,XRP,0.6454,0.6484,0.5716,0.5846,142142536.22
